Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burundi,BDI,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.555149944,3.716770285,4.236112597,7.429714161,18.03834666,16.27127669,12.26425678,13.88231061,17.57994977,12.76066658,6.369791258,11.2827998,11.78622044,14.56689631,11.33562017,18.4202788,26.90997249,19.17343169,21.83139547,18.66498667,
Belgium,BEL,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2293773,22.68396909,17.33761178,17.37911927,14.30134634,11.23813256,14.3458937,17.1927781,13.691289,11.93120328,7.587233515,5.848507397,5.038182364,5.344850219,6.007560791,5.331949222,6.995234825,4.490278677,4.606836431,9.003214244,9.526597579
Burkina Faso,BFA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.474430145,7.731212595,12.02804334,11.8938093,7.094824944,8.30248743,11.97873169,11.90973394,7.922191731,9.571150112,9.650200522,7.541791223,6.759570398,5.761747793,5.784291857,4.917877752,4.968780259,5.751311173,5.406784071,8.572917192,10.82771413
Bangladesh,BGD,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71259653,10.02654044,9.884826459,9.393321905,10.15258264,10.30050159,10.27729929,9.906899644,11.13147135,9.71767499,10.92967974,11.2688999,12.06440908,10.63218151,13.74929376,14.728175,11.47018737,9.007748478,8.872497828,10.11380832,8.489644671
Bulgaria,BGR,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.452156305,10.56398396,11.15692025,13.04721338,12.26017897,13.43007438,14.696099,10.65026545,9.73901952,11.25706226,11.16500484,13.38234319,11.80002457,13.48603747,26.06946347,24.58376259,22.42472916,22.38653861,18.11089423,29.22625289,27.87523504
Bahrain,BHR,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74835652,0.738376605,0.770857025,0.954382981,2.114695594,3.229831139,6.723464052,7.574872294,6.763435173,9.79407052,11.6938017,
Bosnia and Herzegovina,BIH,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64698119,10.54135933,15.1239118,20.08498459,23.2357937,27.13317495,26.47847606,19.6892191,21.55617349,21.767357,19.89796398,19.03621196,21.04159764,22.13070125,23.98166919,25.3163384,27.39999993,27.5275525,26.82073411,29.29603075,34.08751203
Belarus,BLR,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87439162,9.837950903,10.68712635,10.29442416,13.99762295,10.53679879,8.411111528,6.909982258,4.847954393,18.86834097,31.81448611,23.64487471,17.99528868,16.97511057,18.32139513,19.22498043,17.14626618,12.41932015,14.71090279,11.00892459,12.60961578
